name,latitude,longitude,phone,postal
Ottawa Public Library,45.4301139,-75.6854104,(613) 580-2940,K1N 5Y6
Ottawa Fastener Supply Ltd ,45.31561,-75.84883,613-828-4117,K2H 5Z2
Canadian Tire ,45.31561,-75.84883,613-829-9580,K2H 5Z2
The Source ,45.30262,-75.876055,613-254-7298,K2M 1C9
Foxy Recycle ,45.33615778,-75.79940285,613-726-3699,K2H 7T3
Best Buy Canada ,45.26864157,-75.7511393,613-843-5625,K2J 4B1
Home Depot ,45.26863235,-75.75116395,613-843-7900,K2J 5M4
Canadian Tire ,45.27155,-75.74702,613-823-5278,K2J 4Y6
The Source ,45.27028,-75.74192,613-823-1995,K2J 5G5
Staples ,45.27069125,-75.7408525,613-825-0457,K2J 5G5
The Source ,45.34921,-75.80515,613-820-6194,K2B 8C1
Franklin Empire ,45.31697001,-75.89005132,613-596-1144,K2L 4E9
ListenUp! Canada ,45.34819648,-75.78634664,613-721-1052,K2C 1E6
The Source ,45.34888515,-75.76084458,613-224-1683,K2G 1V7
Home Depot ,45.30227417,-75.91424833,613-271-7577,K2T 1C4
RONA ,45.33296,-75.72896,613-226-5636,K2G 5X6
Home Depot ,45.35292425,-75.75932454,613-723-5900,K2C 0C6
Interstate Batteries of Ont ,45.3247075,-75.71596875,613-798-9700,K2E 6V4
Canadian Tire ,45.33620709,-75.72502728,613-224-9330,K2G 1E6
Staples ,45.30771066,-75.91916275,613-592-3538,K2T 1B7
Canadian Tire ,45.30740676,-75.9196712,613-599-5105,K2T 1B7
The Source ,45.34561959,-75.73044568,613-224-9648,K2G 4A1
uBreakiFix ,45.34896778,-75.73245556,613-422-8243,K2G 5J8
ListenUp! Canada ,45.35091,-75.73358,613-727-3132,K2G 4B5
Staples ,45.35311,-75.73469,613-226-7989,K2G 3J4
Sears (Canada) ,45.37053083,-75.77006667,613-729-2561,K2A 1H2
Staples ,45.37061,-75.76937,613-729-4585,K2A 1H1
The Source ,45.37105857,-75.76883286,613-722-6052,K2A 1H2
Best Buy ,45.372818,-75.7679092,--,K2A 1H2
Jean Coutu ,45.39552,-75.83552,819-684-0006,J9H 6A6
La Source ,45.39552,-75.83552,819-684-1359,J9H 6A6
Mountain Equipment Co-op ,45.39150172,-75.75514375,613-729-2700,K2A 0E8
Manotick Home Hardware ,45.2240975,-75.68488125,613-692-3591,K4M 1A8
RONA ,45.41160652,-75.81877783,819-684-3275,J9J 3M3
Pharmacie Brunet ,45.411005,-75.839105,819-684-8222,J9J 1V2
ListenUp! Canada ,45.39978273,-75.73205818,613-728-9170,K1Y 0X6
Jean Coutu ,45.41993877,-75.8095308,819-682-0670,J9J 1Z4
The Source ,45.3573151,-75.6538102,613-733-1891,K1V 1J5
Staples ,45.3573151,-75.6538102,613-521-3030,K1V 1J5
Home Depot ,45.36334908,-75.6588964,613-739-5300,K1V 7Z8
ListenUp! Canada ,45.3539,-75.64844,613-521-0904,K1V 0T7
The Source ,45.38677872,-75.67960232,613-737-1079,K1H 8K2
The Source ,45.3996469,-75.6837603,613-565-4808,K1S 5J3
La Source ,45.43336,-75.78517,819-772-4751,J9A 3G1
Canadian Tire ,45.433308,-75.779701,819-684-0660,J9A 0C7
Jean Coutu ,45.43501939,-75.78079497,819-771-4515,J9A 0N4
ListenUp! Canada ,45.41091222,-75.69289111,613-238-6839,K2P 1Z2
RONA ,45.43576105,-75.77787243,819-776-3400,J9A 3G1
Staples ,45.41309667,-75.69440333,613-235-2525,K2P 1Y6
Bureau en Gros ,45.43606539,-75.77306538,819-770-2332,J9A 3G1
Henrys ,45.41581667,-75.69677333,613-232-5368,K2P 1X5
Jean Coutu ,45.4875464,-75.7461782,819-568-7468,J8T 5L7
Service Automobiles ML ,45.474817,-75.7423732,819-771-1615,J8Z 2C3
Exelradio  inc. ,45.47269729,-75.74363857,819-595-9090,J8Z 2B4
Quincaillerie Touraine ,45.4758836,-75.7313602,819-568-4846,J8T 4H6
Municipalit̩ Chelsea ,45.50332,-75.80135,819-827-4019,J9B 1C1
