"001","002","003","004","005"
"Gare du Palais-Électrobac","46.817662","-71.2141343","  ","G1K 3X2"
"Édifice Marie-Guyart - SQI-Électrobac","46.8079292","-71.2180916","  ","G1R 5E9"
"Ministère de l'Emploi et de la Solidarité Sociale (MESS)-Électrobac","46.8061014","-71.2198508","  ","G1R 4Z1"
"The UPS Store - Lévis","46.7967063","-71.1785671"," 418-903-9523 ","G6V 6C5"
"Les Galeries Chagnon - Westcliff-Électrobac","46.7963976","-71.1711047","  ","G6V 6Y8"
"Fleur de Lys Centre Commercial - 20 Vic-Électrobac","46.8225102","-71.2521853","  ","G1M 3E5"
"Fleur de Lys Centre Commercial 2 - 20 Vic-Électrobac","46.8225102","-71.2521853","  ","G1M 3E5"
"Ressourcerie Lévis","46.7950777","-71.1709185"," 418-838-8889 ","G6V 7Z6"
"Bureau en Gros - Lévis","46.7920166","-71.1720319"," 418-833-7547 ","G6V 6C9"
"Ressourcerie Entraide Agapè","46.851715","-71.209926"," 418-661-7485 #300 ","G1E 1V8"
"Ameublements Tanguay Lévis","46.792582","-71.16207"," 418-833-4511 ","G6V 0G9"
"Bureau en Gros - Charest","46.7982788","-71.2608245"," 418-527-4114 ","G1N 2E5"
"Centre d'Ordinateurs S.T.O.","46.7969636","-71.2605417"," 418-687-6666 ","G1N 4N7"
"IGA Extra des Sources Galeries Charlesbourg-Électrobac","46.8434388","-71.2475349","  ","G1H 2S5"
"COOPSCO F.X. Garneau","46.792028","-71.264176"," 418-681-8134 ","G1S 4S3"
"Écocentre des Rivières","46.8001632","-71.2714762","  ","G1N 4A2"
"Les Promenades Beauport - Cominar-Électrobac","46.8605273","-71.21739","  ","G1C 5R9"
"BZ inc","46.848636","-71.254668"," 416-688-2727 ","G1H 2V5"
"Édifice Atrium - SQI-Électrobac","46.8472789","-71.2624411","  ","G1H 7H9"
"Bureau en Gros - Beauport","46.8682714","-71.2057595"," 418-660-5222 ","G1C 2K6"
"Coop Zone Université Laval","46.7795265","-71.2699975","  ","G1V 0B4"
"Université Laval - Pavillon Alphonse-Desjardins-Électrobac","46.7792486","-71.26968","  ","G1V 0A6"
"Université Laval - PEPS-Électrobac","46.7834744","-71.2753477","  ","G1V 0A6"
"1-800-Got-Junk - Québec","46.799985","-71.286339"," 800-468-5265 ","G1N 1S9"
"Pavillon Charles De Koninck - Université Laval-Électrobac","46.7818469","-71.2744235","  ","G1V 0A6"
"Metro Plus Ferland Du Marais-Électrobac","46.8164059","-71.2895279","  ","G1M 0A2"
"Bureau en Gros - Québec City","46.8452322","-71.2761621"," 418-622-5044 ","G2J 1R9"
"Ameublements Tanguay Beauport","46.871904","-71.201459"," 418-666-4411 ","G1C 7T9"
"Pavillon Ferdinand-Vandry - Université Laval-Électrobac","46.7791941","-71.2769316","  ","G1V 0A6"
"Pavillon Alexandre-Vachon - Université Laval-Électrobac","46.7800449","-71.2779275","  ","G1V 0A6"
"2525 boul. Laurier - SSQ Groupe Financier-Électrobac","46.772483","-71.2766509","  ","G1V 2L2"
"Best Buy - Québec Galeries de la Capitale","46.8310776","-71.2987181"," 418-266-1367 ","G2K 1N4"
"Écocentre de Lévis","46.7517448","-71.1788086"," 418-835-8225 ","G6W 0K8"
"Place de la cité - Cominar-Électrobac","46.7719636","-71.2821248","  ","G1V 4T3"
"Metro Plus Charlesbourg-Électrobac","46.8666916","-71.2699484","  ","G1G 5X1"
"Centre Hospitalier Universitaire de Québec (CHUQ)-Électrobac","46.7694731","-71.2827959","  ","G1V 4G2"
"PSG Métal","46.8504357","-71.2916938"," 418-931-6945 ","G2K 1W6"
"Réso-Tech Informatique","46.8127063","-71.3077667"," 418-864-0360 ","G1P 2X9"
"Best Buy - Québec Place Laurier","46.7693961","-71.2842909"," 418-266-1819 ","G1V 2L8"
"Complexe Jules Dallaire - Cominar-Électrobac","46.7677688","-71.2887587","  ","G1V 0C1"
"Cartouches-Escompte inc.","46.8062257","-71.3154861"," 418-871-3231 ","G1P 2J2"
"Écocentre Beauport","46.8868641","-71.1863497","  ","G1C 5B4"
"Brassard Buro","46.7852883","-71.3084589"," 418-657-5500 ","G1P 3X3"
"Bureau en Gros - Sainte-Foy","46.7652145","-71.291902"," 418-652-8300 ","G1V 2M2"
"Écocentre Jean-Talon (Matrec)","46.8639249","-71.297794","  ","G2K 2L8"
"Ameublements Tanguay Les Saules","46.819915","-71.330994"," 800-563-4411 ","G1P 1K6"
"IGA Supermarché Pépin-Électrobac","46.7240021","-71.2047479","  ","G6Z 3K4"
"Ovation Logistique inc.","46.8238064","-71.3416977"," 418-840-0999 ","G2C 1Y6"
"Écocentre Boischatel","46.9012508","-71.1474572","  ","G0A 1H0"
"Ameublements Tanguay - Centre de distribution","46.8201992","-71.3500201"," 418-847-4411 ","G2C 2A7"
"Metro Plus Neufchâtel-Électrobac","46.8564674","-71.3396893","  ","G2B 1B3"
"Bureau en Gros - Sainte-Foy 2","46.7809281","-71.3463492"," 418-871-4443 ","G2G 2R5"
"Bureau en Gros - Neufchatel","46.8236444","-71.3588834"," 418-840-0077 ","G2C 1H7"
"Arteau Récupération","46.892075","-71.320757","  ","G2N 0J9"
"IGA des Sources - Cap Rouge-Électrobac","46.7637467","-71.3722797","  ","G3A 0M2"
"Écocentre Hêtrière","46.7598193","-71.3763609","  ","G3A 0M2"
"Garage municipal de Beaumont","46.8301922","-71.0098142"," 418-833-3369 ","G0R 1C0"
